profile,map,fleet_size,total_arrival_rate_per_s,parent_type,child_type,grouped_B,grouped_gamma_per_s,active_interval_B,active_interval_gamma_per_s,direct_children,kernel_exposure,identifiable
quick,two_to_one_merge,50,0.4,0,0,0.0,1.0,0.0,1.0,0,0.0,False
quick,two_to_one_merge,50,0.4,0,1,0.0,1.0,0.0,1.0,0,0.0,False
quick,two_to_one_merge,50,0.4,1,0,0.0,1.0,0.0,1.0,0,0.0,False
quick,two_to_one_merge,50,0.4,1,1,0.0,1.0,0.0,1.0,0,0.0,False
quick,two_to_one_merge,50,0.7,0,0,0.0,1.0,0.0,1.0,0,0.0,False
quick,two_to_one_merge,50,0.7,0,1,0.0,1.0,0.0,1.0,0,0.0,False
quick,two_to_one_merge,50,0.7,1,0,0.0,1.0,0.0,1.0,0,0.0,False
quick,two_to_one_merge,50,0.7,1,1,0.0,1.0,0.0,1.0,0,0.0,False
quick,two_to_one_merge,50,1.0,0,0,0.0,1.0,0.0,1.0,0,0.0,False
quick,two_to_one_merge,50,1.0,0,1,0.0,1.0,0.0,1.0,0,0.0,False
quick,two_to_one_merge,50,1.0,1,0,0.0,1.0,0.0,1.0,0,0.0,False
quick,two_to_one_merge,50,1.0,1,1,0.0,1.0,0.0,1.0,0,0.0,False
quick,two_to_one_merge,100,0.4,0,0,0.9718567974203853,0.21340129397872315,0.985312607687984,0.20849633668320222,59,60.70853252928273,True
quick,two_to_one_merge,100,0.4,0,1,0.03295565659450586,0.20845037661335974,0.0334308063242324,0.20352261983510783,2,60.68760894703055,True
quick,two_to_one_merge,100,0.4,1,0,0.36375974355635654,0.15333112598728937,1.10583182069344,0.0500000027328969,1,2.7490672558302816,True
quick,two_to_one_merge,100,0.4,1,1,0.8044132112853415,0.12117389805683074,2.211663585508833,0.050000004170330306,2,2.4862843771601857,True
quick,two_to_one_merge,100,0.7,0,0,0.977777781248915,0.4308611911796132,0.9790890907314467,0.4291323000840289,88,89.9999996804976,True
quick,two_to_one_merge,100,0.7,0,1,0.022222222303306904,0.43012408437503,0.022252179282755632,0.4283917774087891,2,89.99999967160704,True
quick,two_to_one_merge,100,0.7,1,0,0.0,1.0,0.0,1.0,0,27.786965345949096,False
quick,two_to_one_merge,100,0.7,1,1,0.9546688781338771,0.3070294176505623,0.9546688781338771,0.3070294176505623,26,27.234573783135218,True
quick,two_to_one_merge,100,1.0,0,0,0.9800000000000006,0.6020110706244142,0.9800938919532785,0.6017120372105256,98,99.99999999999993,True
quick,two_to_one_merge,100,1.0,0,1,0.010039831229470546,0.05488620156023494,0.010312360557131882,0.052828566154344225,1,99.60326793787502,True
quick,two_to_one_merge,100,1.0,1,0,0.20083518408269813,1.269886181746899,0.20130926798001103,1.2564288446888503,1,4.979207226898196,True
