profile,true_rho,dataset,joint_rho,rho_ci_lower,rho_ci_upper,regime_verdict,interval_contains_truth,known_gamma_rho,joint_abs_error,known_gamma_abs_error,max_gamma_abs_error,gamma_bound_entries,bootstrap_successes
quick,0.85,0,0.8263709188997637,0.7593863241950521,0.9409914343313722,certified_subcritical,True,0.8538190204645377,0.023629081100236315,0.003819020464537748,0.30587989372724045,0,80
quick,0.85,1,0.8188476507419076,0.7387162870966053,0.886968386932921,certified_subcritical,True,0.8553378107938527,0.031152349258092404,0.00533781079385276,0.5352709387611827,0,80
quick,0.85,2,0.8786525190532812,0.792022314277972,1.1134492709206592,indeterminate,True,0.8406584988460515,0.028652519053281256,0.009341501153948495,0.31771163344963194,0,80
quick,0.85,3,0.7907420809345153,0.7124838468490606,0.871126428252388,certified_subcritical,True,0.8136063436153214,0.05925791906548472,0.03639365638467862,0.25529695471931535,0,80
quick,0.85,4,0.8792177287112704,0.807722835114583,0.9609715051745696,certified_subcritical,True,0.8642391121266197,0.029217728711270374,0.014239112126619768,0.26638218453832485,0,80
quick,0.85,5,0.8393136040003208,0.7799607594971054,0.9185879703199329,certified_subcritical,True,0.8864032820385034,0.010686395999679132,0.036403282038503404,0.3935852028542204,0,80
quick,0.85,6,0.8605113380632546,0.7860716773161521,1.1388573171505971,indeterminate,True,0.810922566049104,0.01051133806325466,0.03907743395089602,0.39311761090950226,0,80
quick,0.85,7,0.8152019685399843,0.7334817137517718,0.9224926830862867,certified_subcritical,True,0.8108396074013402,0.0347980314600157,0.03916039259865978,0.21031085214979106,0,80
quick,0.85,8,0.900244950082233,0.7990745969635222,1.081352094170486,indeterminate,True,0.8767082717540962,0.050244950082233064,0.02670827175409618,0.28390957495728175,0,80
quick,0.85,9,0.8873717796522039,0.8068226125593648,0.9902114230227175,certified_subcritical,True,0.8768540916386817,0.03737177965220395,0.026854091638681687,0.20647897320306896,0,80
quick,0.85,10,0.8581283480247084,0.8012841215148124,0.950860933351719,certified_subcritical,True,0.8749901583780293,0.00812834802470841,0.024990158378029315,0.23684702224788212,0,80
quick,0.85,11,0.9002892687644062,0.8248783326357263,0.9923659434089676,certified_subcritical,True,0.9246340623882505,0.0502892687644062,0.07463406238825054,0.1429780483367965,0,80
quick,1.0,0,1.080076232162692,1.00152032151622,1.1889855347105316,certified_supercritical,False,1.0340958490196728,0.080076232162692,0.034095849019672775,0.37008445039082327,0,80
quick,1.0,1,0.9292923457147193,0.8691426911760178,1.0416288162887468,indeterminate,True,0.9417624705792929,0.0707076542852807,0.058237529420707146,0.17234461686387914,0,80
