ramp,direction,label,requested_arrival_rate,segment_start,segment_end,retained_start,observed_arrival_rate,completion_rate,mean_queue_length,queue_drift,stability_evidence,empty_time_fraction,terminal_busy_duration,matched_reset_mean_queue,matched_reset_completion_rate,matched_reset_queue_drift,matched_reset_stability_evidence,excess_over_matched_reset,down_minus_up_queue,collision_count,crossing_violation_count,mass_balance_residual
fast,up,up-0.35,0.35,0.0,30.0,15.0,0.3333333333333333,0.06666666666666667,0.03333333333333333,0.0006345848757271285,indeterminate,0.9666666666666667,0.0,0.03333333333333333,0.06666666666666667,0.0006345848757271285,indeterminate,0.0,0.0,0,0,0
fast,up,up-0.50,0.5,30.0,60.0,45.0,0.4666666666666667,0.4,0.11666666666666667,-0.0029613960867265997,indeterminate,0.8833333333333333,0.0,0.11666666666666667,0.13333333333333333,-0.0029613960867265997,indeterminate,0.0,0.0,0,0,0
fast,up,up-0.65,0.65,60.0,90.0,75.0,0.6666666666666666,0.4666666666666667,0.05,0.00021152829190904283,indeterminate,0.95,0.0,0.05,0.13333333333333333,0.00021152829190904283,indeterminate,0.0,2.016666666666667,0,0,0
fast,up,up-0.80,0.8,90.0,120.0,105.0,0.8,0.6666666666666666,2.691666666666667,0.11612903225806452,growth_detected,0.0,15.0,2.691666666666667,0.2,0.11612903225806452,growth_detected,0.0,,0,0,0
fast,down,down-0.65,0.65,120.0,150.0,135.0,0.6666666666666666,0.6666666666666666,2.066666666666667,-0.016076150185087294,indeterminate,0.0,15.0,0.05,0.13333333333333333,0.00021152829190904283,indeterminate,2.016666666666667,2.016666666666667,0,0,0
fast,down,down-0.50,0.5,150.0,180.0,165.0,0.4666666666666667,0.6666666666666666,0.11666666666666667,-0.0029613960867265997,no_growth_detected,0.8833333333333333,0.0,0.11666666666666667,0.13333333333333333,-0.0029613960867265997,indeterminate,0.0,0.0,0,0,0
fast,down,down-0.35,0.35,180.0,210.0,195.0,0.3333333333333333,0.4,0.03333333333333333,0.0006345848757271285,no_growth_detected,0.9666666666666667,0.0,0.03333333333333333,0.06666666666666667,0.0006345848757271285,indeterminate,0.0,0.0,0,0,0
slow,up,up-0.35,0.35,0.0,80.0,40.0,0.35,0.35,0.021875,-0.001311249137336094,no_growth_detected,0.978125,0.0,0.021875,0.35,-0.001311249137336094,no_growth_detected,0.0,0.0,0,0,0
slow,up,up-0.50,0.5,80.0,160.0,120.0,0.5,0.45,0.121875,-0.0009201748332183121,indeterminate,0.878125,0.0,0.121875,0.45,-0.0009201748332183121,indeterminate,0.0,8.7125,0,0,0
slow,up,up-0.65,0.65,160.0,240.0,200.0,0.65,0.675,4.353125,-0.008994708994708951,indeterminate,0.0,40.0,3.0375,0.675,-0.01184725097768576,indeterminate,1.3156250000000003,15.999999999999998,0,0,0
slow,up,up-0.80,0.8,240.0,320.0,280.0,0.8,0.625,10.996875,0.15441683919944788,growth_detected,0.0,40.0,7.68125,0.625,0.15629169542213023,growth_detected,3.315624999999999,,0,0,0
slow,down,down-0.65,0.65,320.0,400.0,360.0,0.65,0.675,20.353125,-0.008994708994708814,indeterminate,0.0,40.0,3.0375,0.675,-0.01184725097768576,indeterminate,17.315624999999997,15.999999999999998,0,0,0
slow,down,down-0.50,0.5,400.0,480.0,440.0,0.5,0.625,8.834375,-0.16002990568207967,indeterminate,0.0,40.0,0.121875,0.45,-0.0009201748332183121,indeterminate,8.7125,8.7125,0,0,0
slow,down,down-0.35,0.35,480.0,560.0,520.0,0.35,0.475,0.021875,-0.001311249137336094,no_growth_detected,0.978125,0.0,0.021875,0.35,-0.001311249137336094,no_growth_detected,0.0,0.0,0,0,0
