condition,crossing_count,rate_per_crossing_per_s,mean_service_duration_s,per_crossing_offered_load,single_gate_overloaded,replication,arrival_seed,disturbance_seed,arrival_rate_per_s,operating_window_start_s,operating_window_end_s,root_cohort_end_s,control_cohort_completions,complete_primary_cohorts,unresolved_primary_cohorts,primary_events,primary_severity_s,primary_burden_s_per_completion,dimensionless_primary_burden,analytic_x_ceiling,coverage_status,direct_branching_in_sample,in_sample_resolvent,in_sample_measured_progeny,chain_identity_residual,algebraic_chain_identity,in_sample_validation_status,treated_completion_rate_per_s,control_completion_rate_per_s,completion_rate_loss_per_s,treated_queue_drift_per_s,mean_active_crossings,any_crossing_occupancy_fraction,completed_crossing_requests,unserved_or_censored_crossing_requests,fold_claim_status,collision_count,crossing_violation_count,mass_balance_residual
K01_base,1,0.025,3.0,0.07500000000000001,False,0,20260914,21260914,0.8,150.0,300.0,240.0,60,4,0,4,12.836681006371183,0.21394468343951972,0.008557787337580789,0.06,flat_shelf,0.9111111111111111,11.249999999999998,11.25,-1.7763568394002505e-15,True,descriptive_not_predictive,0.6,0.6733333333333333,0.07333333333333336,0.14141635480179768,0.11083333333333334,0.11083333333333334,5,0,not_tested_no_independently_observed_fold,0,0,0
K01_base,1,0.025,3.0,0.07500000000000001,False,1,20260915,21260915,0.8,150.0,300.0,240.0,61,1,0,1,4.501097756590333,0.07378848781295629,0.0029515395125182513,0.05901639344262295,flat_shelf,0.9166666666666666,11.999999999999995,12.0,-5.329070518200751e-15,True,descriptive_not_predictive,0.6333333333333333,0.6733333333333333,0.040000000000000036,0.25206914279080816,0.065,0.065,1,0,not_tested_no_independently_observed_fold,0,0,0
K01_base,1,0.025,3.0,0.07500000000000001,False,2,20260916,21260916,0.8,150.0,300.0,240.0,61,3,0,3,13.580854480189014,0.2226369586916232,0.008905478347664928,0.05901639344262295,flat_shelf,0.918918918918919,12.333333333333341,12.333333333333334,7.105427357601002e-15,True,descriptive_not_predictive,0.6133333333333333,0.6733333333333333,0.06000000000000005,0.04728929082757982,0.09666666666666666,0.09666666666666666,3,0,not_tested_no_independently_observed_fold,0,0,0
K01_base,1,0.025,3.0,0.07500000000000001,False,3,20260917,21260917,0.8,150.0,300.0,240.0,61,2,0,2,7.513457481565707,0.12317143412402799,0.00492685736496112,0.05901639344262295,flat_shelf,0.9166666666666666,11.999999999999995,12.0,-5.329070518200751e-15,True,descriptive_not_predictive,0.6066666666666667,0.6733333333333333,0.06666666666666665,0.10274570068711647,0.11333333333333333,0.11333333333333333,2,0,not_tested_no_independently_observed_fold,0,0,0
K01_base,1,0.025,3.0,0.07500000000000001,False,4,20260918,21260918,0.8,150.0,300.0,240.0,61,1,0,1,4.224148840704323,0.06924834165089054,0.0027699336660356217,0.05901639344262295,flat_shelf,0.9166666666666666,11.999999999999995,12.0,-5.329070518200751e-15,True,descriptive_not_predictive,0.64,0.6733333333333333,0.033333333333333326,0.007509300667215765,0.0375,0.0375,1,0,not_tested_no_independently_observed_fold,0,0,0
K01_base,1,0.025,3.0,0.07500000000000001,False,5,20260919,21260919,0.8,150.0,300.0,240.0,61,0,0,0,0.0,0.0,0.0,0.05901639344262295,flat_shelf,nan,1.0,,,False,descriptive_not_predictive,0.66,0.6733333333333333,0.013333333333333308,0.09765451821714652,0.015,0.015,0,0,not_tested_no_independently_observed_fold,0,0,0
K02_dist,2,0.05,3.0,0.15000000000000002,False,0,20260914,21270914,0.8,150.0,300.0,240.0,60,2,0,2,7.814560492343603,0.13024267487239338,0.005209706994895735,0.12,flat_shelf,0.9,10.000000000000002,10.0,1.7763568394002505e-15,True,descriptive_not_predictive,0.6333333333333333,0.6733333333333333,0.040000000000000036,0.10540350799608611,0.11,0.11,2,0,not_tested_no_independently_observed_fold,0,0,0
K02_dist,2,0.05,3.0,0.15000000000000002,False,1,20260915,21270915,0.8,150.0,300.0,240.0,61,9,0,9,33.81941160025097,0.5544165836106717,0.022176663344426868,0.1180327868852459,extended_but_below_target,0.4375,1.7777777777777777,1.7777777777777777,0.0,True,descriptive_not_predictive,0.5266666666666666,0.6733333333333333,0.14666666666666672,0.36263171568979724,0.3125,0.3075,11,0,not_tested_no_independently_observed_fold,0,0,0
K02_dist,2,0.05,3.0,0.15000000000000002,False,2,20260916,21270916,0.8,150.0,300.0,240.0,61,13,0,13,45.70580795733646,0.7492755402842043,0.029971021611368172,0.1180327868852459,extended_but_below_target,0.9064748201438849,10.692307692307695,10.692307692307692,3.552713678800501e-15,True,descriptive_not_predictive,0.52,0.6733333333333333,0.15333333333333332,0.12484353320324366,0.2833333333333333,0.2683333333333333,13,0,not_tested_no_independently_observed_fold,0,0,0
K02_dist,2,0.05,3.0,0.15000000000000002,False,3,20260917,21270917,0.8,150.0,300.0,240.0,61,10,0,10,35.412615985060874,0.5805346882796865,0.023221387531187458,0.1180327868852459,extended_but_below_target,0.8076923076923077,5.2,5.2,0.0,True,descriptive_not_predictive,0.5133333333333333,0.6733333333333333,0.16000000000000003,0.22383049292154306,0.2816666666666667,0.2816666666666667,10,0,not_tested_no_independently_observed_fold,0,0,0
K02_dist,2,0.05,3.0,0.15000000000000002,False,4,20260918,21270918,0.8,150.0,300.0,240.0,61,14,0,14,53.09600171221751,0.8704262575773362,0.03481705030309345,0.1180327868852459,extended_but_below_target,0.8852459016393442,8.714285714285714,8.714285714285714,0.0,True,descriptive_not_predictive,0.5066666666666667,0.6733333333333333,0.16666666666666663,0.14926550986451165,0.35583333333333333,0.31583333333333335,14,0,not_tested_no_independently_observed_fold,0,0,0
K02_dist,2,0.05,3.0,0.15000000000000002,False,5,20260919,21270919,0.8,150.0,300.0,240.0,61,5,0,5,18.2885124076993,0.29981167881474263,0.011992467152589704,0.1180327868852459,extended_but_below_target,0.9285714285714286,14.000000000000007,14.0,7.105427357601002e-15,True,descriptive_not_predictive,0.56,0.6733333333333333,0.11333333333333329,0.22440340296626324,0.26916666666666667,0.2375,5,0,not_tested_no_independently_observed_fold,0,0,0
