speed_m_per_s,horizon_seconds,correlational_B
0.6,1.0,0.0
0.6,2.0,0.0
0.6,4.0,0.4
0.6,8.0,0.4
0.8,1.0,0.0
0.8,2.0,0.0
0.8,4.0,0.625
0.8,8.0,0.875
1.0,1.0,0.0
1.0,2.0,0.5238095238095238
1.0,4.0,0.9523809523809523
1.0,8.0,1.2857142857142858
1.2,1.0,0.0
1.2,2.0,0.5833333333333334
1.2,4.0,1.0
1.2,8.0,1.4583333333333333
1.4,1.0,0.0
1.4,2.0,0.6666666666666666
1.4,4.0,1.3777777777777778
1.4,8.0,2.6
1.5,1.0,0.0
1.5,2.0,0.6363636363636364
1.5,4.0,1.5454545454545454
1.5,8.0,2.890909090909091
1.6,1.0,0.0
1.6,2.0,0.6438356164383562
1.6,4.0,1.821917808219178
1.6,8.0,3.4246575342465753
1.8,1.0,0.05504587155963303
1.8,2.0,0.7155963302752294
1.8,4.0,1.889908256880734
1.8,8.0,3.834862385321101
2.0,1.0,0.375
2.0,2.0,1.2916666666666667
2.0,4.0,2.816666666666667
2.0,8.0,5.375
