sweep,condition_value,speed_m_per_s,robot_count,replication,split,causal_events,primary_events,unique_causal_robots,censored_causal_events,treated_traversal_rate_per_s,control_traversal_rate_per_s,attributable_rate_loss_per_s,attributable_severity_s,traversal_loss,collision_count,crossing_violation_count
speed,0.6,0.6,20,0,training,2,1,2,0,0.19957574218806404,0.2000000000000063,0.00042425781194227463,5.091093743312246,0.05091093743307435,0,0
speed,0.6,0.6,20,1,training,2,1,2,0,0.19949636881094257,0.2000000000000063,0.0005036311890637413,6.04357426876992,0.06043574268765231,0,0
speed,0.6,0.6,20,2,training,2,1,2,0,0.19965972349122502,0.2000000000000063,0.00034027650878129534,4.083318105379016,0.04083318105375919,0,0
speed,0.6,0.6,20,3,training,1,1,1,0,0.1998052876586164,0.2000000000000063,0.00019471234138990212,2.3365480966786514,0.023365480966787307,0,0
speed,0.6,0.6,20,4,training,2,1,2,0,0.19969761916785045,0.2000000000000063,0.000302380832155863,3.628569985872592,0.03628569985870579,0,0
speed,0.6,0.6,20,5,training,1,1,1,0,0.19977134178638148,0.2000000000000063,0.00022865821362483274,2.743898563497986,0.02743898563498064,0,0
speed,0.6,0.6,20,6,validation,2,1,2,0,0.19974152377352303,0.2000000000000063,0.00025847622648328406,3.1017147178015447,0.0310171471779969,0,0
speed,0.6,0.6,20,7,validation,2,1,2,0,0.19967629470755519,0.2000000000000063,0.00032370529245112634,3.884463509415636,0.038844635094134834,0,0
speed,0.6,0.6,20,8,validation,2,1,2,0,0.19950525501963925,0.2000000000000063,0.0004947449803670567,5.936939764409568,0.0593693976440484,0,0
speed,0.6,0.6,20,9,validation,2,1,2,0,0.19969226920564553,0.2000000000000063,0.00030773079436077766,3.692769532331159,0.03692769532329218,0,0
speed,0.6,0.6,20,10,validation,2,1,2,0,0.1995637408925006,0.2000000000000063,0.00043625910750572094,5.23510929007373,0.052351092900690094,0,0
speed,0.6,0.6,20,11,validation,2,1,2,0,0.19966060525497037,0.2000000000000063,0.00033939474503594247,4.072736940434273,0.04072736940431222,0,0
speed,0.8,0.8,20,0,training,2,1,2,0,0.26608999283490414,0.2666666666666817,0.0005766738317775633,5.1900644860086365,0.06920085981331117,0,0
speed,0.8,0.8,20,1,training,3,1,3,0,0.26581024531466885,0.2666666666666817,0.0008564213520128594,7.707792168136974,0.10277056224154345,0,0
speed,0.8,0.8,20,2,training,3,1,3,0,0.2656379175674702,0.2666666666666817,0.0010287490992115234,9.25874189292509,0.12344989190538248,0,0
speed,0.8,0.8,20,3,training,2,1,2,0,0.26633467028415064,0.2666666666666817,0.00033199638253106345,2.987967442790788,0.039839565903731965,0,0
speed,0.8,0.8,20,4,training,3,1,3,0,0.26595008376249457,0.2666666666666817,0.0007165829041871352,6.449246137706075,0.08598994850245537,0,0
speed,0.8,0.8,20,5,training,3,1,3,0,0.26589576887912936,0.2666666666666817,0.0007708977875523493,6.938080087992933,0.09250773450628316,0,0
