arrival_rate_per_s,typing,type_count,parent_type,child_type,eligible_parent_events,direct_child_events,B_entry
0.1,scalar,1,0,0,39,1,0.02564102564102564
0.1,severity_SR,2,0,0,13,0,0.0
0.1,severity_SR,2,0,1,13,0,0.0
0.1,severity_SR,2,1,0,26,0,0.0
0.1,severity_SR,2,1,1,26,1,0.038461538461538464
0.1,spatial_4,4,0,0,12,0,0.0
0.1,spatial_4,4,0,1,12,0,0.0
0.1,spatial_4,4,0,2,12,0,0.0
0.1,spatial_4,4,0,3,12,0,0.0
0.1,spatial_4,4,1,0,9,0,0.0
0.1,spatial_4,4,1,1,9,0,0.0
0.1,spatial_4,4,1,2,9,0,0.0
0.1,spatial_4,4,1,3,9,0,0.0
0.1,spatial_4,4,2,0,9,0,0.0
0.1,spatial_4,4,2,1,9,0,0.0
0.1,spatial_4,4,2,2,9,1,0.1111111111111111
0.1,spatial_4,4,2,3,9,0,0.0
0.1,spatial_4,4,3,0,9,0,0.0
0.1,spatial_4,4,3,1,9,0,0.0
0.1,spatial_4,4,3,2,9,0,0.0
0.1,spatial_4,4,3,3,9,0,0.0
0.1,spatial_8,8,0,0,8,0,0.0
0.1,spatial_8,8,0,1,8,0,0.0
0.1,spatial_8,8,0,2,8,0,0.0
0.1,spatial_8,8,0,3,8,0,0.0
0.1,spatial_8,8,0,4,8,0,0.0
0.1,spatial_8,8,0,5,8,0,0.0
0.1,spatial_8,8,0,6,8,0,0.0
0.1,spatial_8,8,0,7,8,0,0.0
0.1,spatial_8,8,1,0,4,0,0.0
0.1,spatial_8,8,1,1,4,0,0.0
0.1,spatial_8,8,1,2,4,0,0.0
0.1,spatial_8,8,1,3,4,0,0.0
0.1,spatial_8,8,1,4,4,0,0.0
0.1,spatial_8,8,1,5,4,0,0.0
0.1,spatial_8,8,1,6,4,0,0.0
0.1,spatial_8,8,1,7,4,0,0.0
0.1,spatial_8,8,2,0,5,0,0.0
0.1,spatial_8,8,2,1,5,0,0.0
0.1,spatial_8,8,2,2,5,0,0.0
0.1,spatial_8,8,2,3,5,0,0.0
0.1,spatial_8,8,2,4,5,0,0.0
0.1,spatial_8,8,2,5,5,0,0.0
0.1,spatial_8,8,2,6,5,0,0.0
0.1,spatial_8,8,2,7,5,0,0.0
0.1,spatial_8,8,3,0,4,0,0.0
0.1,spatial_8,8,3,1,4,0,0.0
0.1,spatial_8,8,3,2,4,0,0.0
0.1,spatial_8,8,3,3,4,0,0.0
0.1,spatial_8,8,3,4,4,0,0.0
0.1,spatial_8,8,3,5,4,0,0.0
0.1,spatial_8,8,3,6,4,0,0.0
0.1,spatial_8,8,3,7,4,0,0.0
0.1,spatial_8,8,4,0,4,0,0.0
0.1,spatial_8,8,4,1,4,0,0.0
0.1,spatial_8,8,4,2,4,0,0.0
0.1,spatial_8,8,4,3,4,0,0.0
0.1,spatial_8,8,4,4,4,0,0.0
0.1,spatial_8,8,4,5,4,0,0.0
0.1,spatial_8,8,4,6,4,0,0.0
0.1,spatial_8,8,4,7,4,0,0.0
0.1,spatial_8,8,5,0,5,0,0.0
0.1,spatial_8,8,5,1,5,0,0.0
0.1,spatial_8,8,5,2,5,0,0.0
