arrival_rate_per_s,replication,disturbance_seed,selected_primary_roots,complete_primary_roots,unresolved_primary_roots,causal_events,mean_complete_root_size,maximum_generation,fanout_parent_events,maximum_direct_children,repeated_robot_events_within_root,mean_work_in_process,completion_rate_per_s,collision_count,crossing_violation_count,mass_balance_residual
0.1,0,21260914,12,12,0,12,1.0,0,0,0,0,2.6587677725118484,0.1,0,0,0
0.1,1,21260915,15,15,0,15,1.0,0,0,0,0,2.7109004739336493,0.1,0,0,0
0.1,2,21260916,11,11,0,12,1.0909090909090908,1,0,1,0,2.6113744075829386,0.1,0,0,0
0.1,3,21260917,7,7,0,7,1.0,0,0,0,0,2.5924170616113744,0.1,0,0,0
0.1,4,21260918,5,5,0,5,1.0,0,0,0,0,2.5450236966824646,0.1,0,0,0
0.1,5,21260919,6,6,0,6,1.0,0,0,0,0,2.5687203791469195,0.1,0,0,0
0.2,0,21260914,29,29,0,34,1.1724137931034482,1,0,1,0,5.350710900473934,0.2,0,0,0
0.2,1,21260915,31,31,0,35,1.1290322580645162,2,0,1,0,5.4454976303317535,0.2,0,0,0
0.2,2,21260916,22,22,0,29,1.3181818181818181,2,0,1,0,5.402843601895735,0.2,0,0,0
0.2,3,21260917,20,20,0,23,1.15,1,0,1,0,5.222748815165877,0.2,0,0,0
0.2,4,21260918,31,31,0,36,1.1612903225806452,1,0,1,0,5.289099526066351,0.2,0,0,0
0.2,5,21260919,20,20,0,20,1.0,0,0,0,0,5.23696682464455,0.20476190476190476,0,0,0
0.3,0,21260914,30,30,0,58,1.9333333333333333,3,0,1,0,8.355450236966824,0.29523809523809524,0,0,0
0.3,1,21260915,34,34,0,62,1.8235294117647058,4,0,1,0,8.654028436018958,0.3047619047619048,0,0,0
0.3,2,21260916,27,27,0,59,2.185185185185185,5,0,1,0,8.672985781990521,0.3,0,0,0
0.3,3,21260917,28,28,0,66,2.357142857142857,6,0,1,0,8.587677725118484,0.30952380952380953,0,0,0
0.3,4,21260918,34,34,0,65,1.911764705882353,4,0,1,0,8.582938388625593,0.30952380952380953,0,0,0
0.3,5,21260919,21,21,0,40,1.9047619047619047,3,0,1,0,8.421800947867299,0.3047619047619048,0,0,0
0.4,0,21260914,34,34,0,143,4.205882352941177,7,0,1,0,12.502369668246445,0.4,0,0,0
0.4,1,21260915,37,37,0,131,3.5405405405405403,7,0,1,0,12.597156398104266,0.3952380952380952,0,0,0
0.4,2,21260916,25,25,0,100,4.0,10,0,1,0,12.981042654028435,0.38571428571428573,0,0,0
0.4,3,21260917,29,29,0,127,4.379310344827586,12,0,1,0,12.862559241706162,0.4238095238095238,0,0,0
0.4,4,21260918,35,35,0,199,5.685714285714286,13,0,1,0,15.450236966824644,0.4095238095238095,0,0,0
0.4,5,21260919,23,23,0,120,5.217391304347826,13,0,1,0,13.161137440758294,0.40476190476190477,0,0,0
0.5,0,21260914,38,38,0,310,8.157894736842104,21,0,1,0,16.46445497630332,0.41904761904761906,0,0,0
0.5,1,21260915,39,39,0,301,7.717948717948718,20,1,2,4,17.545023696682463,0.4238095238095238,0,0,0
0.5,2,21260916,28,28,0,224,8.0,17,0,1,0,16.876777251184834,0.41904761904761906,0,0,0
0.5,3,21260917,29,29,0,221,7.620689655172414,20,0,1,0,16.24170616113744,0.4523809523809524,0,0,0
0.5,4,21260918,35,35,0,215,6.142857142857143,13,0,1,0,15.611374407582938,0.4142857142857143,0,0,0
0.5,5,21260919,24,24,0,212,8.833333333333334,19,1,2,2,17.151658767772513,0.41904761904761906,0,0,0
0.6,0,21260914,38,38,0,310,8.157894736842104,21,0,1,0,16.47867298578199,0.41904761904761906,0,0,0
0.6,1,21260915,39,39,0,301,7.717948717948718,20,1,2,4,17.545023696682463,0.4238095238095238,0,0,0
0.6,2,21260916,27,27,0,217,8.037037037037036,17,0,1,0,16.872037914691944,0.41904761904761906,0,0,0
0.6,3,21260917,29,29,0,221,7.620689655172414,20,0,1,0,16.24170616113744,0.4523809523809524,0,0,0
0.6,4,21260918,35,35,0,215,6.142857142857143,13,0,1,0,15.611374407582938,0.4142857142857143,0,0,0
0.6,5,21260919,24,24,0,212,8.833333333333334,19,1,2,2,17.151658767772513,0.41904761904761906,0,0,0
0.8,0,21260914,38,38,0,310,8.157894736842104,21,0,1,0,16.47867298578199,0.41904761904761906,0,0,0
0.8,1,21260915,39,39,0,301,7.717948717948718,20,1,2,4,17.545023696682463,0.4238095238095238,0,0,0
0.8,2,21260916,28,28,0,225,8.035714285714286,17,0,1,0,16.90521327014218,0.41904761904761906,0,0,0
0.8,3,21260917,29,29,0,221,7.620689655172414,20,0,1,0,16.24170616113744,0.4523809523809524,0,0,0
0.8,4,21260918,35,35,0,199,5.685714285714286,13,0,1,0,15.554502369668246,0.4095238095238095,0,0,0
0.8,5,21260919,24,24,0,212,8.833333333333334,19,1,2,2,17.151658767772513,0.41904761904761906,0,0,0
