arrival_rate_per_s,typing,type_count,training_replications,validation_replications,training_primary_events,training_causal_events,training_mean_progeny,primary_mix_identity_residual,primary_mix_algebraic_identity,complete_forest_rho_bound_verified,training_primary_mix_status,validation_primary_events,validation_causal_events,active_parent_types,minimum_active_parent_count,spectral_radius,regime,spectral_proxy_1_over_1_minus_rho,exact_G_star,lp_G_star,lp_minimum_residual,G_star_over_spectral_proxy,commutator_non_normality,off_diagonal_mass,heldout_measured_progeny,infinite_primary_mix_prediction,infinite_primary_mix_relative_error,training_derived_depth,finite_depth_primary_mix_prediction,finite_depth_primary_mix_relative_error,validation_scope
0.1,scalar,1,3,3,38,39,1.0263157894736843,0.0,True,True,descriptive_not_predictive,18,18,1,39,0.02564102564102564,subcritical_resolvent_defined,1.0263157894736843,1.0263157894736843,1.0263157894736843,0.0,1.0,0.0,0.0,1.0,1.0263157894736843,0.026315789473684292,1,1.0256410256410255,0.02564102564102555,independent_complete_root_cohorts
0.1,severity_SR,2,3,3,38,39,1.0263157894736843,0.0,True,True,descriptive_not_predictive,18,18,2,13,0.038461538461538464,subcritical_resolvent_defined,1.04,1.04,1.04,0.0,1.0,0.0,0.0,1.0,1.0263157894736843,0.026315789473684292,1,1.0253036437246965,0.025303643724696512,independent_complete_root_cohorts
0.1,spatial_4,4,3,3,38,39,1.0263157894736843,-2.220446049250313e-16,True,True,descriptive_not_predictive,18,18,4,9,0.1111111111111111,subcritical_resolvent_defined,1.125,1.125,1.125,0.0,1.0,0.0,0.0,1.0,1.026315789473684,0.02631578947368407,1,1.023391812865497,0.023391812865497075,independent_complete_root_cohorts
0.1,spatial_8,8,3,3,38,39,1.0263157894736843,-2.220446049250313e-16,True,True,descriptive_not_predictive,18,18,8,4,0.0,subcritical_resolvent_defined,1.0,1.2,1.2,0.0,1.2,1.4142135623730951,0.2,1.0,1.026315789473684,0.02631578947368407,1,1.026315789473684,0.02631578947368407,independent_complete_root_cohorts
0.1,spatial_16,16,3,3,38,39,1.0263157894736843,-2.220446049250313e-16,True,True,descriptive_not_predictive,18,18,15,1,0.0,subcritical_resolvent_defined,1.0,1.5,1.5,0.0,1.5,1.4142135623730951,0.5,1.0,1.026315789473684,0.02631578947368407,1,1.026315789473684,0.02631578947368407,independent_complete_root_cohorts
0.1,root_gate_control,16,3,3,38,39,1.0263157894736843,-2.220446049250313e-16,True,True,descriptive_not_predictive,18,18,16,1,0.3333333333333333,subcritical_resolvent_defined,1.4999999999999998,1.4999999999999998,1.4999999999999998,0.0,1.0,0.0,0.0,1.0,1.026315789473684,0.02631578947368407,1,1.0175438596491229,0.01754385964912286,independent_complete_root_cohorts
0.2,scalar,1,3,3,82,98,1.1951219512195121,0.0,True,True,descriptive_not_predictive,71,79,1,98,0.16326530612244897,subcritical_resolvent_defined,1.1951219512195121,1.1951219512195121,1.1951219512195121,0.0,1.0,0.0,0.0,1.1126760563380282,1.1951219512195121,0.07409694350108047,2,1.189920866305706,0.0694225507304445,independent_complete_root_cohorts
0.2,severity_SR,2,3,3,82,98,1.1951219512195121,0.0,True,True,descriptive_not_predictive,71,79,2,31,0.07462686567164178,subcritical_resolvent_defined,1.0806451612903225,1.404338153503893,1.404338153503893,-1.1102230246251565e-16,1.2995367987647966,1.2686025759939918,0.2903225806451613,1.1126760563380282,1.1951219512195121,0.07409694350108047,2,1.193084320298384,0.0722656549517122,independent_complete_root_cohorts
0.2,spatial_4,4,3,3,82,98,1.1951219512195121,0.0,True,True,descriptive_not_predictive,71,79,4,19,0.3103448275862069,subcritical_resolvent_defined,1.45,1.5047619047619047,1.5047619047619047,0.0,1.0377668308702792,0.2804126589009276,0.1397459165154265,1.1126760563380282,1.1951219512195121,0.07409694350108047,2,1.1786615309160586,0.059303401203039965,independent_complete_root_cohorts
0.2,spatial_8,8,3,3,82,98,1.1951219512195121,2.220446049250313e-16,True,True,descriptive_not_predictive,71,79,8,5,0.3,subcritical_resolvent_defined,1.4285714285714286,1.5857142857142859,1.5857142857142859,0.0,1.11,0.2863477348516785,0.4954887218045113,1.1126760563380282,1.1951219512195124,0.07409694350108066,2,1.1781736501486362,0.05886492608295143,independent_complete_root_cohorts
0.2,spatial_16,16,3,3,82,98,1.1951219512195121,0.0,True,True,descriptive_not_predictive,71,79,15,2,0.16666666666666666,subcritical_resolvent_defined,1.2,1.7125,1.7125,-1.1102230246251565e-16,1.4270833333333333,0.5075181435562304,1.6134920634920633,1.1126760563380282,1.1951219512195121,0.07409694350108047,2,1.1829936581678742,0.0631968320242919,independent_complete_root_cohorts
0.2,root_gate_control,16,3,3,82,98,1.1951219512195121,0.0,True,True,descriptive_not_predictive,71,79,16,2,0.4166666666666667,subcritical_resolvent_defined,1.7142857142857144,1.7142857142857144,1.7142857142857144,-1.1102230246251565e-16,1.0,0.0,0.0,1.1126760563380282,1.1951219512195121,0.07409694350108047,2,1.17540987431558,0.056381026283622536,independent_complete_root_cohorts
0.3,scalar,1,3,3,91,179,1.967032967032967,-2.220446049250313e-16,True,True,descriptive_not_predictive,83,171,1,179,0.49162011173184356,subcritical_resolvent_defined,1.9670329670329667,1.9670329670329667,1.9670329670329667,0.0,1.0,0.0,0.0,2.0602409638554215,1.9670329670329667,0.04524130839920323,5,1.9392620970182282,0.058720736535012,independent_complete_root_cohorts
0.3,severity_SR,2,3,3,91,179,1.967032967032967,6.661338147750939e-16,True,True,descriptive_not_predictive,83,171,2,66,0.30973451327433627,subcritical_resolvent_defined,1.448717948717949,2.3386550556361883,2.3386550556361883,0.0,1.6142928702621475,1.0524398966681128,0.6060606060606061,2.0602409638554215,1.9670329670329676,0.0452413083992028,5,1.9626800587670887,0.04735412352240716,independent_complete_root_cohorts
0.3,spatial_4,4,3,3,91,179,1.967032967032967,0.0,True,True,descriptive_not_predictive,83,171,4,31,0.544814924375578,subcritical_resolvent_defined,2.1969085841142793,2.4481533426834967,2.4481533426834963,-4.440892098500626e-16,1.114362864429569,0.0711032789437033,0.324110835401158,2.0602409638554215,1.967032967032967,0.04524130839920312,5,1.9286599117716483,0.0638668264500186,independent_complete_root_cohorts
0.3,spatial_8,8,3,3,91,179,1.967032967032967,0.0,True,True,descriptive_not_predictive,83,171,8,5,0.48,subcritical_resolvent_defined,1.923076923076923,2.624506388564276,2.624506388564276,-1.1102230246251565e-16,1.3647433220534237,0.38067517608108964,1.4727556501469543,2.0602409638554215,1.967032967032967,0.04524130839920312,5,1.9300733884693542,0.06318075296516722,independent_complete_root_cohorts
0.3,spatial_16,16,3,3,91,179,1.967032967032967,2.220446049250313e-16,True,True,descriptive_not_predictive,83,171,15,5,0.5,subcritical_resolvent_defined,2.0,2.77540559063598,2.77540559063598,-5.551115123125783e-16,1.38770279531799,0.24693729864511363,4.790674603174603,2.0602409638554215,1.9670329670329672,0.04524130839920301,5,1.9346612988494742,0.06095387248826682,independent_complete_root_cohorts
0.3,root_gate_control,16,3,3,91,179,1.967032967032967,0.0,True,True,descriptive_not_predictive,83,171,16,4,0.6666666666666666,subcritical_resolvent_defined,2.9999999999999996,2.9999999999999996,2.9999999999999996,0.0,1.0,0.0,0.0,2.0602409638554215,1.967032967032967,0.04524130839920312,5,1.9081285569006434,0.073832337878635,independent_complete_root_cohorts
