topology,types,beta,spectral_radius,G_star
chain,4,0.7,0.0,2.533
fanout,4,0.7,0.0,3.0999999999999996
chain,4,0.95,0.0,3.709875
fanout,4,0.95,0.0,3.8499999999999996
chain,4,0.99,0.0,3.9403989999999998
fanout,4,0.99,0.0,3.9699999999999998
chain,8,0.7,0.0,3.1411732999999997
fanout,8,0.7,0.0,5.9
chain,8,0.95,0.0,6.731591374218749
fanout,8,0.95,0.0,7.65
chain,8,0.99,0.0,7.72553055720799
fanout,8,0.99,0.0,7.930000000000001
chain,16,0.7,0.0,3.3222556898101328
fanout,16,0.7,0.0,11.499999999999998
chain,16,0.95,0.0,11.197466626964683
fanout,16,0.95,0.0,15.249999999999996
chain,16,0.99,0.0,14.854222890512437
fanout,16,0.99,0.0,15.850000000000001
chain,32,0.7,0.0,3.3332965190775243
fanout,32,0.7,0.0,22.69999999999999
chain,32,0.95,0.0,16.125770310829967
fanout,32,0.95,0.0,30.449999999999985
chain,32,0.99,0.0,27.501966404214627
fanout,32,0.99,0.0,31.68999999999998
