requested_arrival_rate,replication,arrival_seed,crossing_seed,arrivals,crossing_requests,collision_count,crossing_violation_count,mass_balance_residual,fleet_balance_residual,completion_loss,terminal_backlog_increase,queue_time_increase,severity_increase,common_completed_jobs,mean_paired_sojourn_increase,primary_events,causal_events,direct_parent_events,direct_branching,direct_spectral_radius,in_sample_resolvent,in_sample_measured_progeny,chain_identity_residual,algebraic_chain_identity,rooted_single_parent_forest,in_sample_validation_status,supercriticality_identifiable_in_this_layout,horizon_branching_2s,horizon_branching_5s,horizon_branching_10s,primary_burden_per_control_completion_s,dimensionless_primary_burden,fold_curve_reference,fold_test_status,completed_crossing_requests,mean_crossing_wait
0.35,0,20260914,21260914,76,3,0,0,0,,1,1,14.625,15.64431644030231,63,0.23536203146072704,2,7,7,0.7142857142857143,0.7142857142857143,3.5,3.5,0.0,True,True,descriptive_not_predictive,False,1.0,1.1428571428571428,1.1428571428571428,0.12345999017529162,0.0048185918904671025,0.9352354709610781,not_tested_no_independently_observed_fold,2,0.48855139095276456
0.35,1,20260915,21260915,99,1,0,0,0,,0,0,41.75,36.79362352319249,91,0.4612542531814685,0,0,0,,,1.0,,,False,True,descriptive_not_predictive,False,0.0,0.0,0.0,0.0,0.0,1.0,not_tested_no_independently_observed_fold,0,
0.35,2,20260916,21260916,93,5,0,0,0,,0,0,13.0,18.36091567125478,82,0.15879248075849295,2,6,3,0.6666666666666666,0.6666666666666666,2.9999999999999996,3.0,-4.440892098500626e-16,False,True,descriptive_not_predictive,False,1.0,1.0,1.0,0.06593536743026797,0.0025716824927566767,0.9517947581707753,not_tested_no_independently_observed_fold,2,0.019201691148467148
0.5,0,20270914,21260914,135,3,0,0,0,,4,4,82.5,150.95376252735198,117,0.5901578257640738,2,22,22,0.9090909090909091,0.9090909090909091,10.999999999999996,11.0,-3.552713678800501e-15,True,True,descriptive_not_predictive,False,1.7272727272727273,2.727272727272727,2.727272727272727,0.10893881548563085,0.004242559086254752,0.9389696060823104,not_tested_no_independently_observed_fold,2,0.4635513909527731
0.5,1,20270915,21260915,125,1,0,0,0,,0,0,2.75,2.949980848617315,116,0.025430861974534234,0,0,0,,,1.0,,,False,True,descriptive_not_predictive,False,0.0,0.0,0.0,0.0,0.0,1.0,not_tested_no_independently_observed_fold,0,
0.5,2,20270916,21260916,110,5,0,0,0,,2,2,53.5,57.495311815895086,101,0.48691874339900587,1,5,5,0.8,0.8,5.000000000000001,5.0,8.881784197001252e-16,True,True,descriptive_not_predictive,False,0.6,1.4,1.4,0.062727522499441,0.002445661912576539,0.9529315914399608,not_tested_no_independently_observed_fold,2,0.7942016911484728
0.6,0,20280914,21260914,136,3,0,0,0,,4,4,93.5,157.74924345399467,111,0.7179888351527166,2,22,22,0.9090909090909091,0.9090909090909091,10.999999999999996,11.0,-3.552713678800501e-15,True,True,descriptive_not_predictive,False,1.4545454545454546,2.727272727272727,2.727272727272727,0.13371395319870763,0.005211729546372959,0.9328315411573013,not_tested_no_independently_observed_fold,2,1.413551390952776
0.6,1,20280915,21260915,139,1,0,0,0,,0,0,34.5,34.483469360576876,123,0.28575128329532107,0,0,0,,,1.0,,,False,True,descriptive_not_predictive,False,0.0,0.0,0.0,0.0,0.0,1.0,not_tested_no_independently_observed_fold,0,
0.6,2,20280916,21260916,145,5,0,0,0,,2,2,142.5,173.15030830747443,123,1.1153672381738875,2,23,11,0.9090909090909091,0.9090909090909091,10.999999999999996,11.5,-0.5000000000000036,False,True,descriptive_not_predictive,False,0.8181818181818182,2.4545454545454546,2.4545454545454546,0.09952606332018367,0.0038743071265899716,0.9415099151845441,not_tested_no_independently_observed_fold,2,1.2692016911484814
0.65,0,20290914,21260914,149,3,0,0,0,,4,4,78.5,150.3585317109994,130,0.49730562916774285,2,20,20,0.9,0.9,10.000000000000002,10.0,1.7763568394002505e-15,True,True,descriptive_not_predictive,False,0.55,1.5,1.5,0.10982095835766227,0.004274053174273794,0.9387582481741801,not_tested_no_independently_observed_fold,2,1.588551390952773
