condition,requested_arrival_rate,replication,window_start,window_end,observed_arrival_rate,admission_rate,completion_rate,mean_queue_length,final_queue_length,mean_work_in_process,mean_available_robots,mean_returning_robots,mean_fleet_utilization,mean_speed,intervention_time_rate,crossing_occupancy_fraction,mean_active_crossings,mean_completed_travel_time,mean_completed_sojourn_time,completed_jobs,queue_drift,queue_drift_hac_se,queue_drift_ci_low,queue_drift_ci_high,hac_lag,empty_time_fraction,zero_return_count,terminal_busy_duration,longest_busy_duration,stability_evidence
crossings,0.35,0,120.0,240.0,0.425,0.425,0.35833333333333334,0.32083333333333336,0,10.5,,,,1.1596573534268357,2.363541666666667,0.058333333333333334,0.058333333333333334,25.894057735399826,26.305183791017434,43,0.0033898085765305687,0.0021280865211461405,-0.0007811643609010022,0.007560781513962139,5,0.75625,22,0.0,9.75,indeterminate
no_crossings,0.35,0,120.0,240.0,0.425,0.425,0.36666666666666664,0.32083333333333336,0,10.403125,,,,1.170090522511874,1.7864583333333333,0.0,0.0,25.621590909066114,26.023614628740916,44,0.0033898085765305687,0.0021280865211461405,-0.0007811643609010022,0.007560781513962139,5,0.75625,22,0.0,9.75,indeterminate
crossings,0.35,1,120.0,240.0,0.39166666666666666,0.43333333333333335,0.4583333333333333,0.7177083333333333,0,12.346875,,,,1.152586317942695,4.930208333333334,0.0,0.0,26.346499447173546,28.847700317499637,55,-0.017084911275782644,0.0040862609447335895,-0.025093835558893093,-0.009075986992672194,5,0.6552083333333333,17,0.0,13.75,no_growth_detected
no_crossings,0.35,1,120.0,240.0,0.39166666666666666,0.43333333333333335,0.4583333333333333,0.684375,0,12.032291666666667,,,,1.1733218055638048,2.685416666666667,0.0,0.0,25.6524242282733,28.08453418950848,55,-0.015746931099628193,0.004131104538464842,-0.023843747211389245,-0.007650114987867142,5,0.6697916666666667,17,0.0,13.0,no_growth_detected
crossings,0.35,2,120.0,240.0,0.425,0.425,0.4166666666666667,0.5083333333333333,0,10.803125,,,,1.1647316753390058,2.136458333333333,0.052083333333333336,0.052083333333333336,25.68416599174095,27.00868528291117,50,0.0007548244062766884,0.001785741225114634,-0.0027451640806564264,0.004254812893209803,5,0.7208333333333333,15,0.0,11.5,no_growth_detected
no_crossings,0.35,2,120.0,240.0,0.425,0.425,0.4166666666666667,0.5083333333333333,0,10.782291666666667,,,,1.1714622971295443,1.8708333333333333,0.0,0.0,25.638999999408767,26.963519290578976,50,0.0007548244062766884,0.001785741225114634,-0.0027451640806564264,0.004254812893209803,5,0.7208333333333333,15,0.0,11.5,no_growth_detected
crossings,0.5,0,120.0,240.0,0.5833333333333334,0.5833333333333334,0.55,2.7895833333333333,0,15.464583333333334,,,,1.1066442304391018,7.629166666666666,0.06041666666666667,0.06041666666666667,26.082825603025007,30.414581994463607,66,-0.011340913208133123,0.007478285379330416,-0.02599808321773319,0.0033162568014669467,5,0.27291666666666664,12,0.0,49.5,indeterminate
no_crossings,0.5,0,120.0,240.0,0.5833333333333334,0.5833333333333334,0.5833333333333334,2.7333333333333334,0,15.1875,,,,1.1700493145449964,5.402083333333334,0.0,0.0,25.677618925467904,30.064487554663394,70,-0.013599779159945131,0.007671312722584628,-0.028635275810354903,0.0014357174904646424,5,0.3145833333333333,9,0.0,49.5,no_growth_detected
crossings,0.5,1,120.0,240.0,0.5083333333333333,0.5,0.48333333333333334,1.0177083333333334,1,12.377083333333333,,,,1.1678011046619239,3.940625,0.0,0.0,25.721551343445903,27.629950326885353,58,-0.0019733266621233406,0.0029405525556321825,-0.007736703765809631,0.00379005044156295,5,0.440625,9,3.0,31.75,indeterminate
no_crossings,0.5,1,120.0,240.0,0.5083333333333333,0.5,0.48333333333333334,1.0177083333333334,1,12.354166666666666,,,,1.168665883191609,3.933333333333333,0.0,0.0,25.670689619496834,27.579088602936285,58,-0.0019733266621233406,0.0029405525556321825,-0.007736703765809631,0.00379005044156295,5,0.440625,9,3.0,31.75,indeterminate
crossings,0.5,2,120.0,240.0,0.4,0.4,0.45,0.575,0,11.316666666666666,,,,1.1565744975964927,3.19375,0.052083333333333336,0.052083333333333336,26.09783409142695,27.63162772679347,54,-0.011764908860344545,0.0031416625861192295,-0.0179224543807152,-0.005607363339973891,5,0.66875,16,0.0,12.75,no_growth_detected
no_crossings,0.5,2,120.0,240.0,0.4,0.4,0.4583333333333333,0.575,0,11.076041666666667,,,,1.1720997795384793,2.4697916666666666,0.0,0.0,25.64848484447986,27.107668433599205,55,-0.011764908860344545,0.0031416625861192295,-0.0179224543807152,-0.005607363339973891,5,0.66875,16,0.0,12.75,no_growth_detected
crossings,0.6,0,120.0,240.0,0.55,0.5166666666666667,0.49166666666666664,1.6833333333333333,6,13.576041666666667,,,,1.1129449484739824,5.552083333333333,0.06041666666666667,0.06041666666666667,25.951127169065348,27.38643096554323,59,0.0451742997386151,0.004918626209307469,0.03553396951495769,0.05481462996227251,5,0.42916666666666664,12,41.5,41.5,indeterminate
no_crossings,0.6,0,120.0,240.0,0.55,0.5416666666666666,0.525,1.4739583333333333,3,13.525,,,,1.170316756673636,3.904166666666667,0.0,0.0,25.65634920403041,27.211971682269876,63,0.035678608707654345,0.003341173648522689,0.029130028690455587,0.04222718872485311,5,0.42916666666666664,12,41.5,41.5,indeterminate
crossings,0.6,1,120.0,240.0,0.575,0.575,0.575,0.9083333333333333,0,14.83125,,,,1.1522339532693855,6.259375,0.0010416666666666667,0.0010416666666666667,26.175324691125873,29.183604470243687,69,0.005858731377403578,0.0025598282702556743,0.0008415601610949931,0.010875902593712163,5,0.44166666666666665,25,0.0,14.25,no_growth_detected
no_crossings,0.6,1,120.0,240.0,0.575,0.575,0.575,0.9083333333333333,0,14.54375,,,,1.170526287697255,4.117708333333334,0.0,0.0,25.667391244092187,28.67422174784768,69,0.005858731377403578,0.0025598282702556743,0.0008415601610949931,0.010875902593712163,5,0.44166666666666665,25,0.0,14.25,no_growth_detected
crossings,0.6,2,120.0,240.0,0.6166666666666667,0.6166666666666667,0.6083333333333333,2.6458333333333335,4,16.503125,,,,1.1174553106130207,9.858333333333333,0.052083333333333336,0.052083333333333336,26.572950312093315,30.488582982837084,73,0.005652987810664156,0.003702807481726478,-0.001604381495205193,0.012910357116533506,5,0.17708333333333334,9,42.75,42.75,no_growth_detected
no_crossings,0.6,2,120.0,240.0,0.6166666666666667,0.625,0.6166666666666667,2.355208333333333,2,16.026041666666668,,,,1.1685500861675482,6.35625,0.0,0.0,25.688738674618964,29.328602748128947,74,0.008129674519716013,0.004246012326468556,-0.00019235671807548045,0.016451705757507505,5,0.22083333333333333,12,42.75,42.75,no_growth_detected
crossings,0.65,0,120.0,240.0,0.5916666666666667,0.6083333333333333,0.6083333333333333,1.65,1,16.545833333333334,,,,1.0974853682738932,8.298958333333333,0.058333333333333334,0.058333333333333334,26.24040821780742,29.360154414456403,73,-0.0009256303862112898,0.0028700164154253443,-0.006550759195483709,0.004699498423061129,5,0.19375,14,0.5,24.5,no_growth_detected
no_crossings,0.65,0,120.0,240.0,0.5916666666666667,0.6166666666666667,0.6416666666666667,1.5447916666666666,0,16.201041666666665,,,,1.1701847153076117,6.091666666666667,0.0,0.0,25.694803943641155,28.717838028072865,77,-0.005632715383752718,0.0030668979787817035,-0.011643724966423543,0.0003782941989181063,5,0.253125,14,0.0,24.5,no_growth_detected
crossings,0.65,1,120.0,240.0,0.6083333333333333,0.6166666666666667,0.6166666666666667,2.853125,2,16.31875,,,,1.1358482364344917,10.266666666666667,0.003125,0.003125,26.551164111453378,31.70709782968496,74,-0.04319364049654509,0.006089521543490199,-0.05512888340486664,-0.03125839758822354,5,0.21041666666666667,17,11.75,51.0,no_growth_detected
no_crossings,0.65,1,120.0,240.0,0.6083333333333333,0.6166666666666667,0.6166666666666667,2.3197916666666667,2,15.791666666666666,,,,1.1691510205646463,6.410416666666666,0.0,0.0,25.696170672893103,29.98588817490847,74,-0.03083047937819723,0.0053650390545428054,-0.04134576270075195,-0.020315196055642512,5,0.24375,19,11.75,45.25,no_growth_detected
crossings,0.65,2,120.0,240.0,0.5916666666666667,0.65,0.6416666666666667,15.323958333333334,11,17.451041666666665,,,,1.1146012588306655,13.045833333333333,0.052083333333333336,0.052083333333333336,26.72817234151235,50.54640837965663,77,-0.05818057125111049,0.005525099601757257,-0.0690095674815513,-0.04735157502066967,5,0.0,0,120.0,120.0,indeterminate
no_crossings,0.65,2,120.0,240.0,0.5916666666666667,0.675,0.675,7.841666666666667,2,17.316666666666666,,,,1.168170082129739,8.398958333333333,0.0,0.0,25.716662343372466,39.25149704877561,81,-0.06834568369838079,0.006168403197816038,-0.08043553180822192,-0.05625583558853966,5,0.00625,1,1.75,117.5,indeterminate
crossings,0.7,0,120.0,240.0,0.6416666666666667,0.6333333333333333,0.6333333333333333,7.096875,7,17.277083333333334,,,,1.0900085774729436,9.244791666666666,0.06041666666666667,0.06041666666666667,26.28990991421918,33.91194153934358,76,0.06912897576797991,0.007200166377200123,0.05501690898597143,0.08324104254998839,5,0.01875,1,100.25,100.25,indeterminate
no_crossings,0.7,0,120.0,240.0,0.6416666666666667,0.675,0.675,6.56875,2,17.26875,,,,1.1683221646745328,7.783333333333333,0.0,0.0,25.70740698964967,34.047644214014475,81,0.04663132650684518,0.009738230847417094,0.027544744772770708,0.06571790824091965,5,0.01875,1,100.25,100.25,indeterminate
crossings,0.7,1,120.0,240.0,0.5833333333333334,0.6583333333333333,0.6583333333333333,14.273958333333333,8,17.420833333333334,,,,1.1351656975033817,12.690625,0.003125,0.003125,26.51652063596052,49.11515725693557,79,-0.055772897059204025,0.006313143346476992,-0.0681464306475376,-0.04339936347087045,5,0.0,0,120.0,120.0,indeterminate
no_crossings,0.7,1,120.0,240.0,0.5833333333333334,0.675,0.675,12.613541666666666,6,17.314583333333335,,,,1.168364176934166,8.404166666666667,0.0,0.0,25.716661380865933,46.40127200996292,81,-0.06750718161506546,0.005545683689877754,-0.07837652191687705,-0.05663784131325387,5,0.0,0,120.0,120.0,indeterminate
crossings,0.7,2,120.0,240.0,0.575,0.65,0.6416666666666667,13.194791666666667,8,17.465625,,,,1.1148089212952137,13.122916666666667,0.051041666666666666,0.051041666666666666,26.766710403707105,47.94154034650821,77,-0.08379154769196262,0.004859337492386264,-0.09331567416576488,-0.07426742121816036,5,0.0,0,120.0,120.0,indeterminate
no_crossings,0.7,2,120.0,240.0,0.575,0.675,0.675,7.29375,1,17.3125,,,,1.168424529940612,8.378125,0.0,0.0,25.71666391145014,39.15001052589625,81,-0.09451566152810975,0.004064074179316312,-0.1024811005500689,-0.0865502225061506,5,0.03125,1,16.75,99.5,indeterminate
crossings,0.8,0,120.0,240.0,0.7333333333333333,0.6333333333333333,0.6333333333333333,28.320833333333333,36,17.314583333333335,,,,1.090190500463112,10.1625,0.058333333333333334,0.058333333333333334,26.241646378416107,58.775779978134324,76,0.1369911405181116,0.004836039648259803,0.12751267697971463,0.14646960405650855,5,0.0,0,120.0,120.0,growth_detected
no_crossings,0.8,0,120.0,240.0,0.7333333333333333,0.6666666666666666,0.675,24.904166666666665,29,17.315625,,,,1.1682791941233328,8.403125,0.0,0.0,25.716661306477594,54.78564621300997,81,0.11547519431336865,0.00648813757168358,0.10275867834612767,0.12819171028060963,5,0.0,0,120.0,120.0,growth_detected
crossings,0.8,1,120.0,240.0,0.9166666666666666,0.6583333333333333,0.6583333333333333,37.99270833333333,56,17.429166666666667,,,,1.1355454207488007,12.684375,0.0010416666666666667,0.0010416666666666667,26.523696922319996,61.75343403275443,79,0.2759361979278991,0.00834037914960971,0.25958935517725523,0.29228304067854294,5,0.0,0,120.0,120.0,growth_detected
no_crossings,0.8,1,120.0,240.0,0.9166666666666666,0.675,0.675,36.309375,54,17.316666666666666,,,,1.1683319713130427,8.403125,0.0,0.0,25.716661008646525,59.37164336476361,81,0.264163956487608,0.00885864619344668,0.24680132899666965,0.2815265839785463,5,0.0,0,120.0,120.0,growth_detected
crossings,0.8,2,120.0,240.0,0.85,0.65,0.6416666666666667,28.214583333333334,40,17.457291666666666,,,,1.1152202717043225,13.129166666666666,0.051041666666666666,0.051041666666666666,26.766710403707684,55.6748676864934,77,0.20192889985421117,0.005168301445230959,0.19179921516031218,0.21205858454811016,5,0.0,0,120.0,120.0,growth_detected
no_crossings,0.8,2,120.0,240.0,0.85,0.675,0.675,20.726041666666667,31,17.316666666666666,,,,1.1681482240934173,8.402083333333334,0.0,0.0,25.71666167805121,46.32344145168131,81,0.1909559096281088,0.0053501346112821944,0.1804698384775545,0.2014419807786631,5,0.0,0,120.0,120.0,growth_detected
