condition,requested_arrival_rate,replications,completion_rate_mean,completion_rate_ci_low,completion_rate_ci_high,queue_drift_mean,queue_drift_ci_low,queue_drift_ci_high,mean_queue_length,mean_queue_ci_low,mean_queue_ci_high,no_growth_fraction,growth_fraction
crossings,0.35,3,0.41111111111111115,0.35833333333333334,0.4583333333333333,-0.0043134260976584625,-0.017084911275782644,0.0033898085765305687,0.515625,0.32083333333333336,0.7177083333333333,0.6666666666666666,0.0
crossings,0.5,3,0.49444444444444446,0.45,0.55,-0.008359716243533669,-0.011764908860344545,-0.0019733266621233406,1.460763888888889,0.575,2.7895833333333333,0.3333333333333333,0.0
crossings,0.6,3,0.5583333333333332,0.49166666666666664,0.6083333333333333,0.018895339642227612,0.005652987810664156,0.04517429973861511,1.7458333333333336,0.9083333333333333,2.6458333333333335,0.6666666666666666,0.0
crossings,0.65,3,0.6222222222222222,0.6083333333333333,0.6416666666666667,-0.034099947377955624,-0.05818057125111049,-0.0009256303862112898,6.609027777777778,1.6499999999999997,15.323958333333332,0.6666666666666666,0.0
crossings,0.7,3,0.6444444444444444,0.6333333333333333,0.6583333333333333,-0.02347848966106224,-0.08379154769196262,0.06912897576797991,11.521875,7.096875,14.273958333333333,0.0,0.0
crossings,0.8,3,0.6444444444444444,0.6333333333333333,0.6583333333333333,0.2049520794334073,0.1369911405181116,0.2759361979278991,31.509375000000002,28.214583333333334,37.99270833333333,0.0,1.0
no_crossings,0.35,3,0.4138888888888889,0.36666666666666664,0.4583333333333333,-0.0038674327056069783,-0.015746931099628193,0.0033898085765305687,0.5045138888888888,0.32083333333333336,0.6843749999999998,0.6666666666666666,0.0
no_crossings,0.5,3,0.5083333333333333,0.4583333333333333,0.5833333333333334,-0.009112671560804338,-0.013599779159945131,-0.0019733266621233406,1.442013888888889,0.575,2.733333333333333,0.6666666666666666,0.0
no_crossings,0.6,3,0.5722222222222223,0.525,0.6166666666666667,0.016555671534924644,0.005858731377403577,0.035678608707654345,1.5791666666666666,0.9083333333333333,2.355208333333333,0.6666666666666666,0.0
no_crossings,0.65,3,0.6444444444444445,0.6166666666666667,0.6750000000000002,-0.034936292820110244,-0.06834568369838079,-0.005632715383752718,3.9020833333333336,1.5447916666666666,7.841666666666666,0.6666666666666666,0.0
no_crossings,0.7,3,0.6750000000000002,0.6750000000000002,0.6750000000000002,-0.03846383887877668,-0.09451566152810975,0.04663132650684518,8.825347222222222,6.568749999999999,12.613541666666668,0.0,0.0
no_crossings,0.8,3,0.6750000000000002,0.6750000000000002,0.6750000000000002,0.19019835347636183,0.11547519431336865,0.264163956487608,27.313194444444445,20.726041666666667,36.309375,0.0,1.0
