condition,fleet_size,replication,empty_return_time,requested_arrival_rate,completion_rate,mean_queue_length,mean_work_in_process,mean_available_robots,mean_returning_robots,mean_fleet_utilization,queue_drift,stability_evidence,mass_balance_residual,fleet_balance_residual,collision_count,crossing_violation_count
crossings,2,0,8.0,1.2,0.06666666666666667,204.03541666666666,1.490625,0.004166666666666667,0.5052083333333334,0.7453125,1.1419889407441266,growth_detected,0,0,0,0
no_crossings,2,0,8.0,1.2,0.06666666666666667,203.978125,1.4625,0.004166666666666667,0.5333333333333333,0.73125,1.1401618343527051,growth_detected,0,0,0,0
crossings,3,0,8.0,1.2,0.1,198.36979166666666,2.2625,0.00625,0.73125,0.7541666666666668,1.1138529688322225,growth_detected,0,0,0,0
no_crossings,3,0,8.0,1.2,0.1,198.26770833333333,2.19375,0.00625,0.8,0.7312500000000001,1.1107564634535592,growth_detected,0,0,0,0
crossings,5,0,8.0,1.2,0.16666666666666666,187.15104166666666,3.839583333333333,0.014583333333333334,1.1458333333333333,0.7679166666666666,1.0570802529308756,growth_detected,0,0,0,0
no_crossings,5,0,8.0,1.2,0.16666666666666666,186.97395833333334,3.6791666666666667,0.010416666666666666,1.3104166666666666,0.7358333333333333,1.0521281734974686,growth_detected,0,0,0,0
crossings,8,0,8.0,1.2,0.24166666666666667,170.6,6.23125,0.022916666666666665,1.7458333333333333,0.77890625,0.9712420527773222,growth_detected,0,0,0,0
no_crossings,8,0,8.0,1.2,0.26666666666666666,170.31458333333333,6.001041666666667,0.016666666666666666,1.9822916666666666,0.7501302083333333,0.963283184237541,growth_detected,0,0,0,0
crossings,12,0,8.0,1.2,0.3416666666666667,149.04791666666668,9.429166666666667,0.025,2.5458333333333334,0.7857638888888889,0.8577539876295059,growth_detected,0,0,0,0
no_crossings,12,0,8.0,1.2,0.36666666666666664,148.62083333333334,9.198958333333334,0.01875,2.7822916666666666,0.7665798611111111,0.8452489195227779,growth_detected,0,0,0,0
crossings,20,0,8.0,1.2,0.5583333333333333,108.18854166666667,15.509375,0.05,4.440625,0.77546875,0.6317962232899995,growth_detected,0,0,0,0
no_crossings,20,0,8.0,1.2,0.5833333333333334,107.34270833333333,15.291666666666666,0.03125,4.677083333333333,0.7645833333333333,0.6058746905219942,growth_detected,0,0,0,0
crossings,30,0,8.0,1.2,0.6083333333333333,96.353125,17.415625,7.652083333333334,4.932291666666667,0.5805208333333333,0.5906893487806344,growth_detected,0,0,0,0
no_crossings,30,0,8.0,1.2,0.6666666666666666,94.2125,17.315625,7.295833333333333,5.388541666666667,0.5771875000000001,0.5256446200429599,growth_detected,0,0,0,0
crossings,2,1,8.0,1.2,0.06666666666666667,203.978125,1.4625,0.004166666666666667,0.5333333333333333,0.73125,1.1401618343527051,growth_detected,0,0,0,0
no_crossings,2,1,8.0,1.2,0.06666666666666667,203.978125,1.4625,0.004166666666666667,0.5333333333333333,0.73125,1.1401618343527051,growth_detected,0,0,0,0
crossings,3,1,8.0,1.2,0.1,198.26770833333333,2.19375,0.00625,0.8,0.7312500000000001,1.1107564634535592,growth_detected,0,0,0,0
no_crossings,3,1,8.0,1.2,0.1,198.26770833333333,2.19375,0.00625,0.8,0.7312500000000001,1.1107564634535592,growth_detected,0,0,0,0
crossings,5,1,8.0,1.2,0.16666666666666666,186.97395833333334,3.6791666666666667,0.010416666666666666,1.3104166666666666,0.7358333333333333,1.0521281734974686,growth_detected,0,0,0,0
no_crossings,5,1,8.0,1.2,0.16666666666666666,186.97395833333334,3.6791666666666667,0.010416666666666666,1.3104166666666666,0.7358333333333333,1.0521281734974686,growth_detected,0,0,0,0
crossings,8,1,8.0,1.2,0.25833333333333336,170.40833333333333,6.0125,0.016666666666666666,1.9708333333333334,0.7515625,0.9633802330897759,growth_detected,0,0,0,0
no_crossings,8,1,8.0,1.2,0.26666666666666666,170.31458333333333,6.001041666666667,0.016666666666666666,1.9822916666666666,0.7501302083333333,0.963283184237541,growth_detected,0,0,0,0
crossings,12,1,8.0,1.2,0.35833333333333334,149.13333333333333,9.183333333333334,0.022916666666666665,2.79375,0.7652777777777778,0.8458005883317085,growth_detected,0,0,0,0
no_crossings,12,1,8.0,1.2,0.36666666666666664,148.62083333333334,9.198958333333334,0.01875,2.7822916666666666,0.7665798611111111,0.8452489195227779,growth_detected,0,0,0,0
crossings,20,1,8.0,1.2,0.575,111.76041666666667,15.397916666666667,0.03333333333333333,4.56875,0.7698958333333333,0.628366301187878,growth_detected,0,0,0,0
no_crossings,20,1,8.0,1.2,0.5833333333333334,107.34270833333333,15.291666666666666,0.03125,4.677083333333333,0.7645833333333333,0.6058746905219942,growth_detected,0,0,0,0
crossings,30,1,8.0,1.2,0.6166666666666667,106.88854166666667,17.522916666666667,7.547916666666667,4.929166666666666,0.5840972222222223,0.5724532224532223,growth_detected,0,0,0,0
no_crossings,30,1,8.0,1.2,0.6666666666666666,94.2125,17.315625,7.295833333333333,5.388541666666667,0.5771875000000001,0.5256446200429599,growth_detected,0,0,0,0
