condition,fleet_size,replications,completion_rate_mean,completion_rate_ci_low,completion_rate_ci_high,fleet_utilization_mean,fleet_utilization_ci_low,fleet_utilization_ci_high,nominal_circulation_ceiling
crossings,2,2,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.73828125,0.73125,0.7453125,0.05952380952380952
crossings,3,2,0.1,0.1,0.1,0.7427083333333334,0.7312500000000001,0.7541666666666668,0.08928571428571429
crossings,5,2,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.751875,0.7358333333333333,0.7679166666666666,0.1488095238095238
crossings,8,2,0.25,0.24166666666666667,0.25833333333333336,0.765234375,0.7515625,0.77890625,0.23809523809523808
crossings,12,2,0.35,0.3416666666666667,0.35833333333333334,0.7755208333333334,0.7652777777777778,0.7857638888888889,0.35714285714285715
crossings,20,2,0.5666666666666667,0.5583333333333333,0.575,0.7726822916666667,0.7698958333333333,0.77546875,0.5952380952380952
crossings,30,2,0.6125,0.6083333333333333,0.6166666666666667,0.5823090277777778,0.5805208333333333,0.5840972222222223,0.8928571428571428
no_crossings,2,2,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.73125,0.73125,0.73125,0.05952380952380952
no_crossings,3,2,0.1,0.1,0.1,0.7312500000000001,0.7312500000000001,0.7312500000000001,0.08928571428571429
no_crossings,5,2,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.7358333333333333,0.7358333333333333,0.7358333333333333,0.1488095238095238
no_crossings,8,2,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.7501302083333333,0.7501302083333333,0.7501302083333333,0.23809523809523808
no_crossings,12,2,0.36666666666666664,0.36666666666666664,0.36666666666666664,0.7665798611111111,0.7665798611111111,0.7665798611111111,0.35714285714285715
no_crossings,20,2,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.7645833333333333,0.7645833333333333,0.7645833333333333,0.5952380952380952
no_crossings,30,2,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5771875000000001,0.5771875000000001,0.5771875000000001,0.8928571428571428
